hmm name,conveted_smiles
avilamycinA_avilamycinC_1,{C:71}{C:69}({C:72}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}1{O:7}{C:8}{O:9}{C:3}31>>{C:89}{O:74}{C:30}1{C:29}({O:28}{C:22}2{C:23}({O:27}){C:24}({O:25}){C:19}({O:18}{C:16}3{O:15}{C:14}{C:11}4{O:10}{C:4}5({O:13}{C:12}4{C:17}3{O:67}{C:68}(={O:70}){C:69}({C:72}){C:71}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}3{O:7}{C:8}{O:9}{C:3}53){O:20}{C:21}2{C:26}{O:73}){O:34}{C:33}({C:75}){C:32}({O:76}){C:31}1{O:35}{C:36}1{C:37}{C:38}2({C:78}){O:42}{C:43}3({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}4{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}5={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}5{C:86}){C:55}({C:58}){O:56}4){C:46}({C:79}){O:45}3){O:44}{C:39}2{C:40}({C:77}){O:41}1
avilamycinA_avilamycinC_2,{C:71}{C:69}({C:72}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}1{O:7}{C:8}{O:9}{C:3}31>>{C:89}{O:73}{C:26}{C:21}1{O:20}{C:19}({O:18}{C:16}2{O:15}{C:14}{C:11}3{O:10}{C:4}4({O:13}{C:12}3{C:17}2{O:67}{C:68}(={O:70}){C:69}({C:72}){C:71}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}2{O:7}{C:8}{O:9}{C:3}42){C:24}({O:25}){C:23}({O:27}){C:22}1{O:28}{C:29}1{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}2{C:37}{C:38}3({C:78}){O:42}{C:43}4({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}5{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}6={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}6{C:86}){C:55}({C:58}){O:56}5){C:46}({C:79}){O:45}4){O:44}{C:39}3{C:40}({C:77}){O:41}2){C:30}1{O:74}
avilamycinA_avilamycinC_3,{C:71}{C:69}({C:72}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}1{O:7}{C:8}{O:9}{C:3}31>>{C:89}{O:25}{C:24}1{C:23}({O:27}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}3{C:37}{C:38}4({C:78}){O:42}{C:43}5({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}6{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}7={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}7{C:86}){C:55}({C:58}){O:56}6){C:46}({C:79}){O:45}5){O:44}{C:39}4{C:40}({C:77}){O:41}3){C:30}2{O:74}){C:21}({C:26}{O:73}){O:20}{C:19}1{O:18}{C:16}1{O:15}{C:14}{C:11}2{O:10}{C:4}3({O:13}{C:12}2{C:17}1{O:67}{C:68}(={O:70}){C:69}({C:72}){C:71}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}1{O:7}{C:8}{O:9}{C:3}31
avilamycinA_avilamycinC_4__1,{C:71}{C:69}({C:72}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}1{O:7}{C:8}{O:9}{C:3}31>>{C:72}{C:69}({C:71}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}({O:88})({C:2}1{O:7}{C:8}{O:9}{C:3}31){C:89}({C:90})={O:91}
avilamycinA_avilamycinC_4__2,{C:71}{C:69}({C:72}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}(={O:88}){C:2}1{O:7}{C:8}{O:9}{C:3}31>>{C:72}{C:69}({C:71}){C:68}(={O:70}){O:67}{C:17}1{C:12}2{O:13}{C:4}3({O:10}{C:11}2{C:14}{O:15}{C:16}1{O:18}{C:19}1{O:20}{C:21}({C:26}{O:73}){C:22}({O:28}{C:29}2{O:34}{C:33}({C:75}){C:32}({O:76}){C:31}({O:35}{C:36}4{C:37}{C:38}5({C:78}){O:42}{C:43}6({C:49}{C:48}({O:80}){C:47}({O:50}{C:51}7{C:52}{C:53}({O:81}){C:54}({O:57}{C:59}(={O:87}){C:60}8={C:65}({O:82}){C:64}({Cl:83})={C:63}({O:84}){C:62}({Cl:85})={C:61}8{C:86}){C:55}({C:58}){O:56}7){C:46}({C:79}){O:45}6){O:44}{C:39}5{C:40}({C:77}){O:41}4){C:30}2{O:74}){C:23}({O:27}){C:24}1{O:25}){O:5}{C:6}({C:66}){C:1}({O:88})({C:2}1{O:7}{C:8}{O:9}{C:3}31){C:89}({C:90})={O:91}
apramycin_2_apramycin_5,{N:1}{C:2}1{C:3}{C:4}({N:5}){C:6}({O:7}{C:8}2{O:9}{C:10}3{C:11}({O:12}){C:13}(={O:14}){C:15}({O:16}{C:17}4{O:18}{C:19}({C:20}{O:21}){C:22}({O:23}){C:24}({O:25}){C:26}4{O:27}){O:28}{C:29}3{C:30}({O:31}){C:32}2{N:33}){C:34}({O:35}){C:36}1{O:37}>>{N:1}{C:2}1{C:3}{C:4}({N:5}){C:6}({O:7}{C:8}2{O:9}{C:10}3{C:11}({O:12}){C:13}({N:38}){C:15}({O:16}{C:17}4{O:18}{C:19}({C:20}{O:21}){C:22}({O:23}){C:24}({O:25}){C:26}4{O:27}){O:28}{C:29}3{C:30}({O:31}){C:32}2{N:33}){C:34}({O:35}){C:36}1{O:37}
apramycin_3,{N:1}{C:2}1{C:3}{C:4}({N:5}){C:6}({O:7}{C:8}2{O:9}{C:10}3{C:11}({O:12}){C:13}({N:38}){C:15}({O:16}{C:17}4{O:18}{C:19}({C:20}{O:21}){C:22}({O:23}){C:24}({O:25}){C:26}4{O:27}){O:28}{C:29}3{C:30}({O:31}){C:32}2{N:33}){C:34}({O:35}){C:36}1{O:37}>>{C:39}{N:38}{C:13}1{C:11}({O:12}){C:10}2{O:9}{C:8}({O:7}{C:6}3{C:4}({N:5}){C:3}{C:2}({N:1}){C:36}({O:37}){C:34}3{O:35}){C:32}({N:33}){C:30}({O:31}){C:29}2{O:28}{C:15}1{O:16}{C:17}1{O:18}{C:19}({C:20}{O:21}){C:22}({O:23}){C:24}({O:25}){C:26}1{O:27}
apramycin_4,{C:39}{N:38}{C:13}1{C:11}({O:12}){C:10}2{O:9}{C:8}({O:7}{C:6}3{C:4}({N:5}){C:3}{C:2}({N:1}){C:36}({O:37}){C:34}3{O:35}){C:32}({N:33}){C:30}({O:31}){C:29}2{O:28}{C:15}1{O:16}{C:17}1{O:18}{C:19}({C:20}{O:21}){C:22}({O:23}){C:24}({O:25}){C:26}1{O:27}>>{C:39}{N:38}{C:13}1{C:11}({O:12}){C:10}2{O:9}{C:8}({O:7}{C:6}3{C:4}({N:5}){C:3}{C:2}({N:1}){C:36}({O:37}){C:34}3{O:35}){C:32}({N:33}){C:30}({O:31}){C:29}2{O:28}{C:15}1{O:16}{C:17}1{O:18}{C:19}({C:20}{O:21}){C:22}(={O:23}){C:24}({O:25}){C:26}1{O:27}
apramycin_6__1_gentamicinC_BGC696_6c,{C:39}{N:38}{C:13}1{C:11}({O:12}){C:10}2{O:9}{C:8}({O:7}{C:6}3{C:4}({N:5}){C:3}{C:2}({N:1}){C:36}({O:37}){C:34}3{O:35}){C:32}({N:33}){C:30}({O:31}){C:29}2{O:28}{C:15}1{O:16}{C:17}1{O:18}{C:19}({C:20}{O:21}){C:22}({N:40}){C:24}({O:25}){C:26}1{O:27}>>{C:39}{N:38}{C:13}1{C:11}({O:12}){C:10}2{O:9}{C:8}({O:7}{C:6}3{C:4}({N:5}){C:3}{C:2}({N:1}){C:36}({O:37}){C:34}3{O:35}){C:32}({N:33}){C:30}{C:29}2{O:28}{C:15}1{O:16}{C:17}1{O:18}{C:19}({C:20}{O:21}){C:22}({N:40}){C:24}({O:25}){C:26}1{O:27}
butirosinA_3_butirosinB_3_butirosin_3,{N:32}{C:11}{C:10}1{O:9}{C:8}({O:7}{C:6}2{C:4}({N:5}){C:3}{C:2}({N:1}){C:30}({O:31}){C:19}2{O:20}{C:21}2{O:22}{C:23}({C:24}{O:25}){C:26}({O:27}){C:28}2{O:29}){C:17}({N:18}){C:15}({O:16}){C:13}1{O:14}>>{N:32}{C:11}{C:10}1{O:9}{C:8}({O:7}{C:6}2{C:4}({N:5}){C:3}{C:2}({N:1}{C:33}(={O:44}){C:34}({O:45}){C:35}{C:36}{N:37}{C:38}(={O:48}){C:39}{C:40}{C:41}({N:47}){C:42}({O:43})={O:46}){C:30}({O:31}){C:19}2{O:20}{C:21}2{O:22}{C:23}({C:24}{O:25}){C:26}({O:27}){C:28}2{O:29}){C:17}({N:18}){C:15}({O:16}){C:13}1{O:14}
