name,smiles,inchikey14,exact_mass
compound_1,CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O,ASXBYYWOLISCLQ,583.281319752
compound_2,CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O,UCSJYZPVAKXKNQ,581.2656696879999
compound_3,OC1C(O)C(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,NULZLIJZOMQAGJ,595.2813197520001
compound_4,OC1C(O)=C(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,IVIOTUPNBKRFHW,593.265669688
compound_5,OC1CC(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,SWCYAUTWZMBILB,579.2864051320001
compound_6,OC1C(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C(C1)NC,UVCOHWIXNJZUSZ,579.2864051320001
compound_7,OCC1OC(OC5C(OC(C5(CO)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,YFGCBTGKYYYPNT,607.2813197520001
compound_8,OCC1OC(OC5C(OC(C5(CO)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,YFGCBTGKYYYPNT,607.2813197520001
compound_9,OC1C(O)C(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,NULZLIJZOMQAGJ,595.2813197520001
compound_10,OC1C(O)=C(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,IVIOTUPNBKRFHW,593.265669688
compound_11,OC1CC(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C1NC,SWCYAUTWZMBILB,579.2864051320001
compound_12,OC1C(CO)OC(OC4C(OC(C4(CO)O)C)OC3C2OCOC2C(C(C3N=C(N)N)O)N=C(N)N)C(C1)NC,UVCOHWIXNJZUSZ,579.2864051320001
compound_13,OCC1OC(OC5C(OC(C5(CO)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,YFGCBTGKYYYPNT,607.2813197520001
compound_14,OCC1OC(OC5C(OC(C5(CO)O)C)OC4C3OCOC3C(C(C4N=C(N)N)O)N=C(N)N)C(C2C1OCO2)NC,YFGCBTGKYYYPNT,607.2813197520001
compound_15,OCC1OC(OC4C(OC(C4(CO)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C1OCO2)NC,ZRNGEYOGMVYDTB,595.2813197520001
compound_16,OCC=1OC(OC4C(OC(C4(CO)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C=1OCO2)NC,YEMCIZJITVXQSU,593.265669688
compound_17,OCC1OC(OC4C(OC(C4(CO)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C1OCO2)NC,ZRNGEYOGMVYDTB,595.2813197520001
compound_18,OCC=1OC(OC4C(OC(C4(CO)O)C)OC3C(C(C(C(C3N=C(N)N)O)N=C(N)N)O)O)C(C2C=1OCO2)NC,YEMCIZJITVXQSU,593.265669688
compound_19,OC1C(CO)OC(OC3C(OC(C3(CO)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C(C1)NC,ACCOMZIIKFGLMK,567.2864051320001
compound_20,OC1=C(CO)OC(OC3C(OC(C3(CO)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C(C1)NC,WMEHDPLQKDZGRB,565.2707550680001
compound_21,OCC1OC(OC3C(OC(C3(CO)O)C)OC2C(C(C(C(C2N=C(N)N)O)N=C(N)N)O)O)C(CC1)NC,BKCGPAWVKGHSLA,551.2914905120001
