name,smiles,inchikey14,exact_mass
compound_1,NC1C(O)C(O)C(O)C(O)C1O,JXAOTICXQLILTC,179.079372516
compound_2,CC(O)C1OC(O)C(O)C1O,AFNUZVCFKQUDBJ,164.068473484
compound_3,CC1OC(O)C(O)C1(O)C=O,PSLNNVPHIJQGRF,162.05282342
compound_4,CC1OC(O)C(O)C1(O)CO,VSTCLKQQGTYAAZ,164.068473484
compound_5,NC1C(OC2C(N)C(O)C(O)C(O)C2O)OC(CO)C(O)C1O,RQEREARTKFHKFJ,340.1481803479999
compound_6,NC(N)=NC1C(O)C(O)C(O)C(N=C(N)N)C1O,MSXMXWJPFIDEMT,262.138953056
compound_7,CC1OC(OC2C(O)C(O)C(N=C(N)N)C(O)C2N=C(N)N)C(O)C1(O)C=O,YEMNUNUZEKRCMP,406.181211792
compound_8,CC1OC(OC2C(O)C(O)C(N=C(N)N)C(O)C2N=C(N)N)C(O)C1(O)CO,ACTKLUZDHCNOLG,408.196861856
compound_9,OC1C(O)C(O)C2C(OCO2)C1N,WTVKEBFXWCNGBG,191.079372516
compound_10,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_11,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_12,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_13,OC1C(O)C2C(OCO2)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_14,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_15,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_16,OC1C(O)C(O)C2C(OCO2)C1N,WTVKEBFXWCNGBG,191.079372516
compound_17,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_18,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_19,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_20,OC1C3C(OCO3)C2C(OCO2)C1N,OLSOFBGAJHPAJT,203.079372516
compound_21,OC1C2C(OCO2)C(O)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_22,OC1C(O)C2C(OCO2)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_23,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_24,OC1C(C3C(OCO3)C2C1OCO2)N,OLSOFBGAJHPAJT,203.079372516
compound_25,OC1C(O)C(O)C(C2C1OCO2)N,WTVKEBFXWCNGBG,191.079372516
compound_26,OC1C2C(OCO2)C(O)C(O)C1N,KOPSWKYSWDQGDS,191.079372516
compound_27,OC1C(O)C(O)C(C2C1OCO2)N,WTVKEBFXWCNGBG,191.079372516
compound_28,OC1C3C(OCO3)C(C2C1OCO2)N,KRJBYNVBUWBKRP,203.079372516
compound_29,OC1C2C(OCO2)OC1C(O)C,NNKGCXNDVSQHBD,176.068473484
compound_30,OC2C13C(OCO3)OC2C(O1)C,CPAOPVSMAZKTPV,174.05282342
compound_31,O1C(C3C2(O3)C1OCO2)C(O)C,LWFWRCGWRYDQJH,174.05282342
compound_32,OC1OC(C2C1OCO2)C(O)C,AYXLKUCPSRIBHU,176.068473484
